path	line	qualified_name	character_count	call	rationale
apps/purchasing/views/purchasing_rest_views.py	72	PurchaseOrderETagMixin._normalize_etag	70	lasagne	Private wrapper only forwards to normalize_etag.
apps/quoting/scrapers/base.py	85	BaseScraper.get_product_urls	76	simplifying	Abstract method defines scraper contract.
apps/quoting/scrapers/base.py	89	BaseScraper.scrape_product	73	simplifying	Abstract method defines scraper contract.
apps/quoting/scrapers/base.py	93	BaseScraper.login	51	simplifying	Abstract method defines scraper contract.
apps/quoting/services/providers/gemini_provider.py	27	GeminiPriceExtractionProvider.get_provider_name	59	lasagne	Method returns a constant provider name; candidate for class attribute/protocol simplification.
apps/quoting/services/providers/mistral_provider.py	27	MistralPriceExtractionProvider.__init__	64	simplifying	Stores provider dependency; normal constructor.
apps/quoting/services/providers/mistral_provider.py	30	MistralPriceExtractionProvider.get_provider_name	60	lasagne	Method returns a constant provider name; candidate for class attribute/protocol simplification.
apps/timesheet/tests/test_payroll_post_api.py	136	PayrollPostStartApiTests.test_stream_ensures_pay_run_before_fetching_timesheets.record_validate	79	simplifying	Local test spy documents call order.
apps/timesheet/tests/test_payroll_post_api.py	142	PayrollPostStartApiTests.test_stream_ensures_pay_run_before_fetching_timesheets.record_ensure	75	simplifying	Local test spy documents call order.
apps/workflow/accounting/xero/provider.py	83	XeroAccountingProvider.provider_name	53	lasagne	Provider property returns constant; candidate for class attribute if interface permits.
apps/workflow/accounting/xero/provider.py	93	XeroAccountingProvider.supports_payroll	55	lasagne	Provider property returns constant; candidate for class attribute if interface permits.
apps/workflow/api/xero/payroll.py	56	_safe_date_of_birth	69	simplifying	SDK monkeypatch setter; shape is required by property API.
apps/workflow/api/xero/payroll.py	64	_safe_annual_salary	69	simplifying	SDK monkeypatch setter; shape is required by property API.
apps/workflow/api/xero/payroll.py	68	_safe_status	55	simplifying	SDK monkeypatch setter; shape is required by property API.
apps/workflow/api/xero/payroll.py	77	_safe_engagement_type	73	simplifying	SDK monkeypatch setter; shape is required by property API.
apps/workflow/api/xero/payroll.py	88	_safe_timesheet_line_date	66	simplifying	SDK monkeypatch setter; shape is required by property API.
apps/workflow/middleware.py	28	DisallowedHostMiddleware.__init__	74	simplifying	Required middleware constructor storing get_response.
apps/workflow/middleware.py	31	DisallowedHostMiddleware.__call__	70	simplifying	Required middleware call path before process_exception.
apps/workflow/migrations/0221_drop_django_apscheduler_tables.py	19	noop	39	simplifying	Migration no-op reverse/placeholder.
apps/workflow/migrations/0222_remove_xero_sync_service.py	60	noop	39	simplifying	Migration no-op reverse/placeholder.
apps/workflow/models/ai_provider.py	28	AIProvider.__str__	71	simplifying	Django display hook.
apps/workflow/models/company_defaults.py	368	CompanyDefaults.__str__	51	simplifying	Django display hook.
apps/workflow/models/xero_account.py	37	XeroAccount.__str__	78	simplifying	Django display hook.
apps/workflow/tests/test_tasks.py	39	XeroSyncTaskFailureTests.setUp	56	simplifying	Test setup hook.
apps/workflow/tests/test_tasks.py	42	XeroSyncTaskFailureTests.tearDown	59	simplifying	Test teardown hook.
apps/workflow/tests/test_tasks.py	146	XeroSyncStartResultTests.setUp	56	simplifying	Test setup hook.
apps/workflow/tests/test_tasks.py	149	XeroSyncStartResultTests.tearDown	59	simplifying	Test teardown hook.
apps/workflow/tests/test_tasks.py	208	XeroRegularSyncSkipTests.setUp	56	simplifying	Test setup hook.
apps/workflow/tests/test_tasks.py	211	XeroRegularSyncSkipTests.tearDown	59	simplifying	Test teardown hook.
apps/workflow/tests/test_xero_document_raw_json.py	16	_FakeProvider.__init__	56	simplifying	Test fake initializer.
apps/workflow/tests/test_xero_document_raw_json.py	19	_FakeProvider.get_account_code	70	simplifying	Test fake implements provider contract.
apps/workflow/tests/test_xero_document_raw_json.py	22	_FakeProvider.create_invoice	61	simplifying	Test fake implements provider contract.
apps/workflow/tests/test_xero_document_raw_json.py	25	_FakeProvider.create_quote	59	simplifying	Test fake implements provider contract.
apps/workflow/tests/test_xero_document_raw_json.py	28	_FakeProvider.add_history_note_to_invoice	77	simplifying	Test fake implements provider contract.
apps/workflow/tests/test_xero_document_raw_json.py	31	_FakeProvider.add_history_note_to_quote	75	simplifying	Test fake implements provider contract.
apps/workflow/tests/test_xero_quota_floor.py	272	SynchroniseXeroDataOrchestratorGateTests.setUp	55	simplifying	Test setup hook.
apps/workflow/tests/test_xero_quota_floor.py	275	SynchroniseXeroDataOrchestratorGateTests.tearDown	58	simplifying	Test teardown hook.
apps/workflow/tests/test_xero_quota_floor.py	557	RunSyncAbortedBranchTests.setUp	56	simplifying	Test setup hook.
apps/workflow/tests/test_xero_quota_floor.py	560	RunSyncAbortedBranchTests.tearDown	59	simplifying	Test teardown hook.
apps/workflow/tests/test_xero_webhooks.py	364	ProcessXeroWebhookEventTaskTests.test_sync_exception_persists_and_raises_already_logged.boom	73	simplifying	Local test helper used to force exception path.
apps/workflow/views/data_versions_view.py	39	_stock_version	75	simplifying	Names one data-version component and keeps response assembly regular.
docketworks/celery.py	28	_nplusone_setup	59	simplifying	Signal receiver must be callable with this shape.
docketworks/celery.py	32	_nplusone_teardown	65	simplifying	Signal receiver must be callable with this shape.
scripts/find_duplicates.py	73	DuplicateFinder.visit_AsyncFunctionDef	76	simplifying	AST visitor alias for async functions.
scripts/find_wrapper_candidates.py	46	extract_functions_and_calls.Visitor.__init__	57	simplifying	Visitor state initialization.
scripts/generate_url_docs.py	79	URLDocumentationGenerator.__init__	62	simplifying	Generator state initialization.
scripts/payroll_reconciliation.py	92	get_monday	75	simplifying	Script-local named date calculation.
