# Properties where v2's declared contract is WEAKER than v1's, one per line,
# tagged by how it is weaker:
#
#   uuid      v1 pins `format: uuid`; v2 accepts any string.
#   nullable  v1 guarantees a value; v2 admits null.
#   required  v1 guarantees the property is present; v2 lets it be absent.
#
# All three come from the same cause: DRF derived v1's contract from the
# models, while v2 hand-writes its ninja schemas, so nothing ties the wire
# back to model truth. See docs/adr/ for the derivation decision.
#
# This list may only SHRINK. A gap missing from it fails (a new regression —
# the accumulation this exists to stop); a listed gap that no longer exists
# also fails, so the file cannot rot into a wishlist. Regenerate with
# --update-baseline when you fix one.
nullable GET /api/job/jobs/{}/summary/ :: response:200.data.job.latest_quote.summary.profitMargin
nullable GET /api/job/jobs/{}/summary/ :: response:200.data.job.quote_sheet.sheet_id
nullable GET /api/purchasing/purchase-orders/{}/allocations/{}/{}/details/ :: response:200.consumed_by_jobs
nullable GET /api/purchasing/purchase-orders/{}/allocations/{}/{}/details/ :: response:200.location
nullable GET /api/purchasing/purchase-orders/{}/allocations/{}/{}/details/ :: response:200.unit_cost
nullable GET /api/purchasing/purchase-orders/{}/allocations/{}/{}/details/ :: response:200.unit_revenue
nullable GET /api/timesheets/jobs/ :: response:200.jobs.[].default_xero_pay_item_id
nullable GET /api/timesheets/jobs/ :: response:200.jobs.[].default_xero_pay_item_name
nullable PATCH /api/companies/contact-methods/{}/ :: request.is_primary
nullable PATCH /api/companies/contact-methods/{}/ :: request.method_type
nullable PATCH /api/companies/contact-methods/{}/ :: request.source
nullable PATCH /api/companies/contact-methods/{}/ :: request.value
nullable PATCH /api/companies/pickup-addresses/{}/ :: request.city
nullable PATCH /api/companies/pickup-addresses/{}/ :: request.company
nullable PATCH /api/companies/pickup-addresses/{}/ :: request.country
nullable PATCH /api/companies/pickup-addresses/{}/ :: request.is_primary
nullable PATCH /api/companies/pickup-addresses/{}/ :: request.name
nullable PATCH /api/companies/pickup-addresses/{}/ :: request.street
nullable PATCH /api/job/cost_lines/{}/ :: request.accounting_date
nullable PATCH /api/job/cost_lines/{}/ :: request.ext_refs
nullable PATCH /api/job/cost_lines/{}/ :: request.kind
nullable PATCH /api/job/cost_lines/{}/ :: request.meta
nullable PATCH /api/job/cost_lines/{}/ :: request.quantity
nullable PATCH /api/job/cost_lines/{}/ :: request.unit_cost
nullable PATCH /api/job/cost_lines/{}/ :: request.unit_rev
nullable PATCH /api/job/jobs/{}/ :: response:200.data.job.latest_actual
nullable PATCH /api/job/jobs/{}/ :: response:200.data.job.latest_actual.summary.profitMargin
nullable PATCH /api/job/jobs/{}/ :: response:200.data.job.latest_estimate
nullable PATCH /api/job/jobs/{}/ :: response:200.data.job.latest_estimate.summary.profitMargin
nullable PATCH /api/job/jobs/{}/ :: response:200.data.job.latest_quote
nullable PATCH /api/job/jobs/{}/ :: response:200.data.job.latest_quote.summary.profitMargin
nullable PATCH /api/job/jobs/{}/ :: response:200.data.job.quote_sheet.sheet_id
nullable PATCH /api/job/labour-subtypes/manage/{}/ :: request.counts_for_scheduling
nullable PATCH /api/job/labour-subtypes/manage/{}/ :: request.default_charge_out_rate
nullable PATCH /api/job/labour-subtypes/manage/{}/ :: request.display_order
nullable PATCH /api/job/labour-subtypes/manage/{}/ :: request.is_active
nullable PATCH /api/job/labour-subtypes/manage/{}/ :: request.is_workshop
nullable PATCH /api/job/labour-subtypes/manage/{}/ :: request.name
nullable PATCH /api/job/workshop/timesheets/ :: request.accounting_date
nullable PATCH /api/job/workshop/timesheets/ :: request.bill_rate_multiplier
nullable PATCH /api/job/workshop/timesheets/ :: request.hours
nullable PATCH /api/job/workshop/timesheets/ :: request.is_billable
nullable PATCH /api/job/workshop/timesheets/ :: request.job_id
nullable PATCH /api/job/workshop/timesheets/ :: request.wage_rate_multiplier
nullable PATCH /api/people/{}/ :: request.name
nullable PATCH /api/people/{}/contact-methods/{}/ :: request.is_primary
nullable PATCH /api/people/{}/contact-methods/{}/ :: request.method_type
nullable PATCH /api/people/{}/contact-methods/{}/ :: request.value
nullable PATCH /api/purchasing/purchase-orders/{}/ :: request.lines
nullable PATCH /api/purchasing/purchase-orders/{}/ :: request.lines.[].alloy
nullable PATCH /api/purchasing/purchase-orders/{}/ :: request.lines.[].dimensions
nullable PATCH /api/purchasing/purchase-orders/{}/ :: request.lines.[].item_code
nullable PATCH /api/purchasing/purchase-orders/{}/ :: request.lines.[].location
nullable PATCH /api/purchasing/purchase-orders/{}/ :: request.lines.[].metal_type
nullable PATCH /api/purchasing/purchase-orders/{}/ :: request.lines.[].specifics
nullable PATCH /api/purchasing/purchase-orders/{}/ :: request.lines_to_delete
nullable PATCH /api/purchasing/purchase-orders/{}/ :: request.reference
nullable PATCH /api/purchasing/purchase-orders/{}/ :: request.status
nullable PATCH /api/purchasing/stock/{}/ :: request.date
nullable PATCH /api/purchasing/stock/{}/ :: request.description
nullable PATCH /api/purchasing/stock/{}/ :: request.is_active
nullable PATCH /api/purchasing/stock/{}/ :: request.quantity
nullable PATCH /api/purchasing/stock/{}/ :: request.source
nullable PATCH /api/purchasing/stock/{}/ :: request.unit_cost
nullable POST /api/accounts/token/ :: response:200.password_needs_reset
nullable POST /api/accounts/token/refresh/ :: request.refresh
nullable POST /api/companies/addresses/validate/ :: response:200.candidates.[].latitude
nullable POST /api/companies/addresses/validate/ :: response:200.candidates.[].longitude
nullable POST /api/job/cost_lines/{}/approve/ :: response:200.remaining_quantity
nullable POST /api/job/job/{}/assignment :: response:200.error
nullable POST /api/job/job/{}/assignment :: response:200.message
nullable POST /api/job/jobs/{}/cost_sets/quote/revise/ :: request.reason
nullable POST /api/job/jobs/{}/undo-change/ :: response:200.data.job.latest_actual
nullable POST /api/job/jobs/{}/undo-change/ :: response:200.data.job.latest_actual.summary.profitMargin
nullable POST /api/job/jobs/{}/undo-change/ :: response:200.data.job.latest_estimate
nullable POST /api/job/jobs/{}/undo-change/ :: response:200.data.job.latest_estimate.summary.profitMargin
nullable POST /api/job/jobs/{}/undo-change/ :: response:200.data.job.latest_quote
nullable POST /api/job/jobs/{}/undo-change/ :: response:200.data.job.latest_quote.summary.profitMargin
nullable POST /api/job/jobs/{}/undo-change/ :: response:200.data.job.quote_sheet.sheet_id
nullable POST /api/job/workshop/timesheets/ :: request.bill_rate_multiplier
nullable POST /api/purchasing/delivery-receipts/ :: response:200.error
nullable POST /api/purchasing/product-mappings/{}/validate/ :: request.mapped_alloy
nullable POST /api/purchasing/product-mappings/{}/validate/ :: request.mapped_description
nullable POST /api/purchasing/product-mappings/{}/validate/ :: request.mapped_dimensions
nullable POST /api/purchasing/product-mappings/{}/validate/ :: request.mapped_item_code
nullable POST /api/purchasing/product-mappings/{}/validate/ :: request.mapped_metal_type
nullable POST /api/purchasing/product-mappings/{}/validate/ :: request.mapped_price_unit
nullable POST /api/purchasing/product-mappings/{}/validate/ :: request.mapped_specifics
nullable POST /api/purchasing/product-mappings/{}/validate/ :: request.validation_notes
nullable POST /api/purchasing/product-mappings/{}/validate/ :: response:200.updated_products_count
nullable POST /api/purchasing/purchase-orders/ :: request.lines.[].alloy
nullable POST /api/purchasing/purchase-orders/ :: request.lines.[].dimensions
nullable POST /api/purchasing/purchase-orders/ :: request.lines.[].item_code
nullable POST /api/purchasing/purchase-orders/ :: request.lines.[].location
nullable POST /api/purchasing/purchase-orders/ :: request.lines.[].metal_type
nullable POST /api/purchasing/purchase-orders/ :: request.lines.[].specifics
nullable POST /api/purchasing/purchase-orders/ :: request.reference
nullable POST /api/purchasing/purchase-orders/{}/email/ :: request.message
nullable POST /api/purchasing/purchase-orders/{}/email/ :: request.recipient_email
nullable POST /api/purchasing/purchase-orders/{}/email/ :: response:200.email_body
nullable POST /api/purchasing/purchase-orders/{}/email/ :: response:200.email_subject
nullable POST /api/purchasing/purchase-orders/{}/email/ :: response:200.message
nullable POST /api/purchasing/purchase-orders/{}/email/ :: response:200.pdf_url
nullable POST /api/purchasing/purchase-orders/{}/lines/{}/allocations/delete/ :: response:200.deleted_quantity
nullable POST /api/purchasing/purchase-orders/{}/lines/{}/allocations/delete/ :: response:200.description
nullable POST /api/purchasing/purchase-orders/{}/lines/{}/allocations/delete/ :: response:200.job_name
nullable POST /api/purchasing/purchase-orders/{}/lines/{}/allocations/delete/ :: response:200.updated_received_quantity
nullable POST /api/purchasing/stock/ :: request.date
nullable POST /api/purchasing/stock/{}/consume/ :: response:200.message
nullable POST /api/purchasing/stock/{}/consume/ :: response:200.remaining_quantity
nullable PUT /api/job/jobs/{}/ :: response:200.data.job.latest_actual
nullable PUT /api/job/jobs/{}/ :: response:200.data.job.latest_actual.summary.profitMargin
nullable PUT /api/job/jobs/{}/ :: response:200.data.job.latest_estimate
nullable PUT /api/job/jobs/{}/ :: response:200.data.job.latest_estimate.summary.profitMargin
nullable PUT /api/job/jobs/{}/ :: response:200.data.job.latest_quote
nullable PUT /api/job/jobs/{}/ :: response:200.data.job.latest_quote.summary.profitMargin
nullable PUT /api/job/jobs/{}/ :: response:200.data.job.quote_sheet.sheet_id
nullable PUT /api/job/jobs/{}/files/{}/ :: request.filename
nullable PUT /api/job/jobs/{}/files/{}/ :: request.print_on_jobsheet
nullable PUT /api/people/{}/ :: request.name
nullable PUT /api/purchasing/stock/{}/ :: request.date
required GET /api/accounts/me/ :: response:200.preferred_name
required GET /api/job/jobs/kanban-changes/ :: query-param.after
required GET /api/job/jobs/{}/timeline/ :: response:200.timeline.[].can_undo
required GET /api/job/jobs/{}/timeline/ :: response:200.timeline.[].undo_description
required POST /api/accounts/token/refresh/ :: request.refresh
required PUT /api/job/jobs/{}/files/{}/ :: request.filename
